School,Type,School UID,School Number,Suburb,Coord East,Coord South,Google Maps Link,Google Maps,School Info
Future Kids Educare,ECD,SCH-00225,225,Kwazakhele,-33.893066,25.59292460,"https://www.google.com/maps?q=-33.893066,25.5929246","https://www.google.com/maps?q=-33.893066,25.5929246","School Address: 28 Moduka Street, Port Elizabeth, Eastern Cape
School Email: Not publicly listed
School Principal: Lungisa Maneli
School Phone number: Not publicly listed
Suburb: Port Elizabeth"
Future Stars,ECD,SCH-00255,255,,-33.811756,25.60075933,"https://www.google.com/maps?q=-33.811756,25.60075933","https://www.google.com/maps?q=-33.811756,25.60075933","School Address: Not explicitly listed, but based on the Google Maps coordinates, it is in the suburb of Walmer, Gqeberha (Port Elizabeth), Eastern Cape.
School Email: contact@futurestarschool.com
School Principal: Not publicly listed.
School Phone number: Not publicly listed.
Suburb: Walmer, Gqeberha (Port Elizabeth)"
G J Louw,Primary,SCH-00155,155,Schauderville,-33.935996,25.57927837,"https://www.google.com/maps?q=-33.93599614343864,25.579278366666603","https://www.google.com/maps?q=-33.93599614343864,25.579278366666603","School Address: Grundling Street, Schauderville, Gqeberha (Port Elizabeth), 6020
School Email: g.j.louw@telkomsa.net
School Principal: Stevens Ba
School Phone number: +27 41 451 1539
Suburb: Schauderville"
Garrett,Primary,SCH-00088,88,Zwide,-33.866781,25.55838072,"https://www.google.com/maps?q=-33.86678061125113,25.55838072433332","https://www.google.com/maps?q=-33.86678061125113,25.55838072433332","School Address: Cnr Bertram And Johnson Road, Zwide, Gqeberha, 6205
School Email: garretprim@gmail.com / garrettprimary@gmail.com
School Principal: Mrs K.C Mdingi
School Phone number: 041 464 1198 / 041 463 1198
Suburb: Zwide"
Gelvan Park,Primary,SCH-00170,170,Gelvan Park,-33.919547,25.56233597,"https://www.google.com/maps?q=-33.91954698890374,25.562335966191586","https://www.google.com/maps?q=-33.91954698890374,25.562335966191586","School Address: Raphael Crescent, Gelvan Park, Port Elizabeth, 6016
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 452 2660
Suburb: Gelvan Park"
Gelvandale,Primary,SCH-00130,130,Galvandale,-33.915326,25.55693785,"https://www.google.com/maps?q=-33.915326293762064,25.556937851323944","https://www.google.com/maps?q=-33.915326293762064,25.556937851323944","School Address: Martin Street, Gelvandale, Gqeberha, 6020
School Email: gelvandalehigh@eject.co.za
School Principal: Not publicly listed in recent sources
School Phone number: 041-456 1632
Suburb: Gelvandale"
Gertrude Shope,Primary,SCH-00275,275,Zinyoka ,-33.859704,25.54130200,"https://www.google.com/maps?q=-33.859704,25.541302","https://www.google.com/maps?q=-33.859704,25.541302","School Address: Baart Street, Govan Mbeki Township, Gqeberha, 6001
School Email: epohsedurtreg@telkomsa.net
School Principal: Ngcape T
School Phone number: 041 464 2280
Suburb: Govan Mbeki Township, Gqeberha"
Good Hope,ECD,SCH-00287,287,New Brighton,-33.902598,25.60338327,"https://www.google.com/maps?q=-33.902598,25.60338327","https://www.google.com/maps?q=-33.902598,25.60338327","School Address: Nyanisweni Location, Cofimvaba, 5403
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 060 435 5989 / 073 359 8644
Suburb: Cofimvaba"
Govan Mbeki,ECD,SCH-00223,223,Bethelsdorp,-33.798819,25.58876210,"https://www.google.com/maps?q=-33.798819,25.5887621","https://www.google.com/maps?q=-33.798819,25.5887621","- School Address: 4 Glendale Ave, Fernglen, Gqeberha, Eastern Cape
- School Email: Not publicly listed
- School Principal: Not publicly listed
- School Phone number: 064 531 2249
- Suburb: Fernglen, Gqeberha"
Green Apple,ECD,SCH-00301,301,Kwazakhele,-33.867071,25.58793328,"https://www.google.com/maps?q=-33.86707115202112,25.58793327845681","https://www.google.com/maps?q=-33.86707115202112,25.58793327845681","School Address: 6807 Ngwendu Street, Kwazakhele, Port Elizabeth, 6205
School Email: greenapplecreche@gmail.com
School Principal: Not publicly listed
School Phone number: 073 869 2323
Suburb: Kwazakhele"
Greenville,Primary,SCH-00112,112,Chatty,-33.870826,25.50163708,"https://www.google.com/maps?q=-33.87082617881431,25.50163708015685","https://www.google.com/maps?q=-33.87082617881431,25.50163708015685","School Address: Etyeni A/A, Greenville Location, Bizana, 4800
School Email: Not publicly listed
School Principal: Mr. K Gamndana
School Phone number: 079 973 8719
Suburb: Bizana, Eastern Cape"
Helenvale,Primary,SCH-00145,145,Helenvale,-33.910843,25.55188882,"https://www.google.com/maps?q=-33.9108431517283,25.55188882064093","https://www.google.com/maps?q=-33.9108431517283,25.55188882064093","School Address: C/O Leith And Kobus Road, Gelvandale, Gqeberha, 6020
School Email: spelavneleh@gmail.com
School Principal: (Not publicly listed in available sources)
School Phone number: 041 452 1616
Suburb: Gelvandale"
Hillcrest,Primary,SCH-00166,166,Helenvale,-33.707917,25.54532815,"https://www.google.com/maps?q=-33.70791650168423,25.545328145437544","https://www.google.com/maps?q=-33.70791650168423,25.545328145437544","School Address: C/O Ethel & Chamois Street, Helenvale, Gqeberha (Port Elizabeth), 6020
School Email: hillcrestschool@telkomsa.net
School Principal: Not publicly listed
School Phone number: 041 452 2638
Suburb: Helenvale"
Hlokoma,High School,SCH-00044,44,East London,,,,,
Hlumelo,ECD,SCH-00258,258,,-33.808345,25.60379802,"https://www.google.com/maps?q=-33.808345,25.60379802","https://www.google.com/maps?q=-33.808345,25.60379802","'- School Address: Hlumelo, Eastern Cape (exact suburb not specified in the available government list, but matches the coordinates provided)
- School Email: Not listed in the public government directory
- School Principal: Not listed in the public government directory
- School Phone number: Not listed in the public government directory
- Suburb: Not specified in the public directory, but the coordinates place it near Motherwell, Gqeberha (Port Elizabeth)

Note: The official government directory for Eastern Cape schools lists Hlumelo but does not provide principal, email, or phone number details. For the most current contact information, contacting the Eastern Cape Department of Education or visiting the school in person may be necessary."
Holy Name Community,ECD,SCH-00261,261,Kwazakhele,-33.904184,25.59829863,"https://www.google.com/maps?q=-33.904184489353234,25.598298627540355","https://www.google.com/maps?q=-33.904184489353234,25.598298627540355","'- School Address: No publicly listed street address found, but Google Maps places it at the coordinates: -33.904184, 25.598299 (Easter Cape, South Africa)
- School Email: Not publicly listed
- School Principal: Not publicly listed
- School Phone number: Not publicly listed
- Suburb: Not explicitly listed, but the coordinates are in Gqeberha (Port Elizabeth), Eastern Cape

No official website or direct contact details for ""Holy Name Community"" in the Eastern Cape were found in public directories or government bulletins. The information may be available from the Eastern Cape Department of Education or local education directories, but it is not currently listed online in public sources."
Hombakazi,Primary,SCH-00184,184,KwaNobuhle,-33.820426,25.39174476,"https://www.google.com/maps?q=-33.82042561941802,25.391744764339418","https://www.google.com/maps?q=-33.82042561941802,25.391744764339418","School Address: Cnr Mahlahla & Majombozi Street, Kwanobuhle, Kariega, 6242
School Email: izakabmoh@telkomsa.net
School Principal: N.E. Sali
School Phone number: 041 977 6856
Suburb: Kwanobuhle, Kariega"
Ikamvalethu,ECD,SCH-00250,250,Kwazakhele,-33.798033,25.58107180,"https://www.google.com/maps?q=-33.798033,25.5810718","https://www.google.com/maps?q=-33.798033,25.5810718","School Address: Zone 27 Off Washington Street, Temba Nqose Street, Langa 7455
School Email: admin@ikamvalethu.wcape.school.za
School Principal: Samkelo Mabece
School Phone number: 021 694 9933
Suburb: Langa"
Ikhwezelihle,Primary,SCH-00095,95,Motherwell,-33.817415,25.58376170,"https://www.google.com/maps?q=-33.81741541345923,25.583761695495234","https://www.google.com/maps?q=-33.81741541345923,25.583761695495234","School Address: Nyara Street, NU 6, Gqeberha (Port Elizabeth), 6211
School Email: Not publicly listed; general contact via Eastern Cape Education Department
School Principal: Not publicly listed
School Phone number: 041 462 3273
Suburb: Motherwell, Gqeberha"
Ilinge,Primary,SCH-00175,175,KwaLanga,-33.743041,25.38749504,"https://www.google.com/maps?q=-33.743040809177266,25.387495037345733","https://www.google.com/maps?q=-33.743040809177266,25.387495037345733","School Address: Cnr 20th Avenue & Maduna Road, Kwa-Langa, Kariega (Uitenhage), 6230
School Email: ilingeprimaryschool@gmail.com
School Principal: Not publicly listed
School Phone number: 041 450 7541
Suburb: Kwa-Langa, Kariega (Uitenhage)"
Ilitha,Primary,SCH-00105,105,Kwazakhele,,,,,
Ilithalethu,ECD,SCH-00094,94,Motherwell,-33.781716,25.58129948,"https://www.google.com/maps?q=-33.7817163663,25.58129947814828","https://www.google.com/maps?q=-33.7817163663,25.58129947814828","'- School Address: Based on the Google Maps link, the coordinates (-33.7817163663, 25.58129947814828) place Ilithalethu in the Eastern Cape, near Motherwell, Gqeberha (Port Elizabeth).
- School Email: Not publicly listed in available sources.
- School Principal: Not publicly listed in available sources.
- School Phone number: Not publicly listed in available sources.
- Suburb: Motherwell, Gqeberha (Port Elizabeth)

Publicly available government and education directories do not list specific contact details for Ilithalethu school in the Eastern Cape."
Imbasa,Primary,SCH-00066,66,Motherwell,-33.772690,25.58732145,"https://www.google.com/maps?q=-33.77268979718923,25.58732144553482","https://www.google.com/maps?q=-33.77268979718923,25.58732144553482","School Address: 23463 Xhama Street, Nu 12 B Motherwell, Gqeberha, 6211
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 488 0024
Suburb: Motherwell, Gqeberha"
Inkqubela,Primary,SCH-00055,55,Kwazakhele,-33.877579,25.60279000,"https://www.google.com/maps?q=-33.87757949882382,25.602789998568316","https://www.google.com/maps?q=-33.87757949882382,25.602789998568316","School Address: Stofile Street, Kwazakhele, Gqeberha, 6205
School Email: AZ.OC.LIAMADOV@733001002
School Principal: Not publicly listed
School Phone number: +27 41 467 4484
Suburb: Kwazakhele"
Isaac Booi,Primary,SCH-00277,277,Zwide,-33.869901,25.56702346,"https://www.google.com/maps?q=-33.86990109981518,25.567023463076644","https://www.google.com/maps?q=-33.86990109981518,25.567023463076644","School Address: Ngqungwana Street, Zwide, Gqeberha (Port Elizabeth), 6201
School Email: iooiobcaasi@gmail.com
School Principal: S.P. Mtyobo
School Phone number: 041 464 3260
Suburb: Zwide"
Isilimela,High School,SCH-00008,8,Berlin,-33.945811,18.54018845,"https://www.google.com/maps?q=-33.94581126476353,18.540188445221464","https://www.google.com/maps?q=-33.94581126476353,18.540188445221464","School Address: Gomolo A/A, Port St Johns, 5120, Eastern Cape, South Africa
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 047 564 9620
Suburb: Port St Johns"
Isizwe Sethu,ECD,SCH-00265,265,,-33.797585,25.60199828,"https://www.google.com/maps?q=-33.797585,25.60199828","https://www.google.com/maps?q=-33.797585,25.60199828","'- School Address: Coordinates -33.797585, 25.60199828 (per Google Maps, this is in Motherwell, Gqeberha, Eastern Cape)
- School Email: Not publicly listed
- School Principal: Not publicly listed
- School Phone number: Not publicly listed
- Suburb: Motherwell, Gqeberha, Eastern Cape"
Ithembalethu,ECD,SCH-00268,268,New Brighton,,,,,
Ithembelihle,High School,SCH-00013,13,New Brighton,-33.902457,25.58552687,"https://www.google.com/maps?q=-33.90245668679504,25.585526866664686","https://www.google.com/maps?q=-33.90245668679504,25.585526866664686","School Address: Marwanqa Street, New Brighton, Gqeberha, 6200
School Email: elhilebmeti@telkomsa.net
School Principal: Not publicly listed in available sources
School Phone number: 041 454 1308
Suburb: New Brighton"
J K Zondi,Primary,SCH-00169,169,Kwazakhele,-33.877141,25.57278062,"https://www.google.com/maps?q=-33.877140564915294,25.57278062385935","https://www.google.com/maps?q=-33.877140564915294,25.57278062385935","School Address: 5008 Tubali Street, Kwazakhele, Port Elizabeth, 6205
School Email: moc.liamg@54eikron (may be a generic or placeholder email)
School Principal: Not publicly listed in recent sources
School Phone number: 041 464 7376
Suburb: Kwazakhele"
J N Tulwana,Primary,SCH-00194,194,KwaNobuhle,-33.808550,25.38245673,"https://www.google.com/maps?q=-33.80855030140856,25.38245673363234","https://www.google.com/maps?q=-33.80855030140856,25.38245673363234","School Address: 29 Mtirara Street, Kwanobuhle, Uitenhage, 6242
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: +27 41 977 0097 / +27 47 553 0054
Suburb: Kwanobuhle, Uitenhage (now Kariega)"
James Jolobe,High School,SCH-00024,24,Motherwell,-33.813516,25.58926007,"https://www.google.com/maps?q=-33.81351586202761,25.58926006850705","https://www.google.com/maps?q=-33.81351586202761,25.58926006850705","School Address: 237 Nyara Street, NU 4a, Motherwell, 6211
School Email: az.oc.liamadov@743001002
School Principal: Not publicly listed
School Phone number: 041 476 0731 / 041 469 1077
Suburb: Motherwell, Port Elizabeth (Gqeberha)"
James Ndulula,Primary,SCH-00163,163,KwaLanga,-33.735137,25.39051803,"https://www.google.com/maps?q=-33.735136584059475,25.390518033652995","https://www.google.com/maps?q=-33.735136584059475,25.390518033652995","School Address: Pongolo Street, Langa Location, Kariega, 6241
School Email: aluludnsemaj@gmail.com
School Principal: Not publicly listed
School Phone number: 041 988 0051
Suburb: Langa Location, Kariega"
James Ntungwana,Primary,SCH-00116,116,KwaNobuhle,-33.803117,25.38084416,"https://www.google.com/maps?q=-33.80311709425297,25.380844164811776","https://www.google.com/maps?q=-33.80311709425297,25.380844164811776","School Address: Tyhulu Street, Kwanobuhle Township, Uitenhage, 6242
School Email: AZ.OC.LIAMTOH@EJMALOZ (may be a placeholder or encoded, as no direct school email is listed)
School Principal: Bloouw Zj (listed as contact person)
School Phone number: 041 977 1103
Suburb: Kariega (Kwanobuhle)"
Jarvis Gqamlana,Primary,SCH-00049,49,New Brighton,-33.903182,25.60289521,"https://www.google.com/maps?q=-33.903181597594866,25.60289520836473","https://www.google.com/maps?q=-33.903181597594866,25.60289520836473","School Address: Singaphi Street, New Brighton, Gqeberha (Port Elizabeth), 6200
School Email: az.oc.liambew@elemefasmud
School Principal: Not publicly listed in recent sources
School Phone number: 041 458 5024
Suburb: New Brighton"
Jeffrey's Bay,High School,SCH-00015,15,Jeffery's Bay,-34.050288,24.91195819,"https://www.google.com/maps?q=-34.05028841319953,24.91195819299756","https://www.google.com/maps?q=-34.05028841319953,24.91195819299756","School Address: St Francis Street, Jeffreys Bay, Eastern Cape
School Email: jbayschool@epweb.co.za
School Principal: Not publicly listed
School Phone number: 042 293 1343
Suburb: Jeffreys Bay"
Jesus Dominion,ECD,SCH-00310,310,Motherwell,,,,,
Joe Slovo,Primary,SCH-00131,131,KwaDwesi,-33.829716,25.50267762,"https://www.google.com/maps?q=-33.82971585116566,25.502677622483915","https://www.google.com/maps?q=-33.82971585116566,25.502677622483915","School Address: 185-205 Melumzi Street, Joe Slovo Township, Gqeberha 6004
School Email: normankupa@yahoo.com
School Principal: Not publicly listed
School Phone number: 041 485 7005
Suburb: Joe Slovo Township, Gqeberha"
John Masiza,Primary,SCH-00192,192,Walmer,,,,,
Jongilanga,ECD,SCH-00290,290,New Brighton,-33.892279,25.60689462,"https://www.google.com/maps?q=-33.892279,25.60689462","https://www.google.com/maps?q=-33.892279,25.60689462","School Address: Jongilanga Location, Kwelerha, East London, 5200
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 073 280 9545 / +27 79 203 1980
Suburb: Kwelerha, East London"
Jongingomso ECD,ECD,SCH-00267,267,Motherwell,-33.805937,25.60518046,"https://www.google.com/maps?q=-33.80593666819742,25.60518045818854","https://www.google.com/maps?q=-33.80593666819742,25.60518045818854","School Address: 335 Vinjiwe Crescent, Motherwell, Eastern Cape
School Email: Not publicly listed
School Principal: Tandiswa Hlalukana
School Phone number: Not publicly listed
Suburb: Motherwell"
Jubilee Park,Primary,SCH-00171,171,Gerald Smith,-33.754513,25.38044213,"https://www.google.com/maps?q=-33.75451300818391,25.38044212569802","https://www.google.com/maps?q=-33.75451300818391,25.38044212569802","School Address: 27 Makappa Street, Gerald Smith Township, Kariega (Uitenhage), 6241
School Email: Not publicly listed (only ""Eastern Cape ..."" found, no full email)
School Principal: Not publicly listed
School Phone number: 041 988 3131 or 067 926 7249
Suburb: Gerald Smith Township, Kariega (Uitenhage)"
Kama,Primary,SCH-00071,71,New Brighton,-33.903996,25.59887605,"https://www.google.com/maps?q=-33.90399612032088,25.59887605085005","https://www.google.com/maps?q=-33.90399612032088,25.59887605085005","School Address: Annshaw Location, Middledrift, 5685
School Email: Not publicly listed
School Principal: Kg Mtotywa
School Phone number: 040 657 3454
Suburb: Middledrift"
Kamvalethu Daycare,ECD,SCH-00214,214,Kwa-Dwesi,-33.826530,25.50873476,"https://www.google.com/maps?q=-33.826529702079064,25.50873476416316","https://www.google.com/maps?q=-33.826529702079064,25.50873476416316","- School Address: 7 Thandaswa Street, Despatch, Eastern Cape
- School Email: kamvalethudaycare@gmail.com
- School Principal: Nokuzola Mphalisa
- School Phone number: +27 84 428 3498
- Suburb: Despatch"
Kayser Ngxwana,Primary,SCH-00065,65,Kwazakhele,-33.876243,25.59342664,"https://www.google.com/maps?q=-33.87624287519675,25.593426637827807","https://www.google.com/maps?q=-33.87624287519675,25.593426637827807","School Address: Mavavana Street, Kwazakhele, Gqeberha, 6205
School Email: chumasandwani@gmail.com
School Principal: Tesana Mo
School Phone number: +27 41 205 0839
Suburb: Kwazakhele"
Khanyisa,Primary,SCH-00317,317,Mdantsane,,,,,
Khanyisa HS,High School,SCH-00047,47,Kwa-Dwesi,,,,,
Khazimla Pre-School,ECD,SCH-00208,208,Motherwell,-33.784356,25.56355004,"https://www.google.com/maps?q=-33.78435559694722,25.56355004395153","https://www.google.com/maps?q=-33.78435559694722,25.56355004395153","'- School Address: No publicly listed street address found, but location is at coordinates -33.78435559694722, 25.56355004395153 (as per Google Maps)
- School Email: Not publicly available
- School Principal: Not publicly available
- School Phone number: Not publicly available
- Suburb: Motherwell, Gqeberha (based on Google Maps coordinates)"
Khulile,Primary,SCH-00086,86,Motherwell,-33.810946,25.58231362,"https://www.google.com/maps?q=-33.81094561433684,25.58231362248281","https://www.google.com/maps?q=-33.81094561433684,25.58231362248281","School Address: Ndakana Street, Nu 7, Motherwell, 6211
School Email: az.oc.liamadov@yramirp.eliluhk
School Principal: Not publicly listed
School Phone number: 041 462 3120
Suburb: Motherwell, Gqeberha"
Khumbulani,High School,SCH-00005,5,Richmond Hill,-33.957430,25.61477420,"https://www.google.com/maps?q=-33.95743048071028,25.614774197350563","https://www.google.com/maps?q=-33.95743048071028,25.614774197350563","School Address: 17 Lutman Street, Centrahill, Central, Qeberha (Port Elizabeth), 6001
School Email: Not publicly listed
School Principal: Mrs Manyathi (recently retired; current principal not clearly listed)
School Phone number: 041 582 2430
Suburb: Centrahill, Central, Qeberha (Port Elizabeth)"
Khwezi Lomso,High School,SCH-00004,4,Zwide,-33.868159,25.55375010,"https://www.google.com/maps?q=-33.86815882968297,25.55375010308872","https://www.google.com/maps?q=-33.86815882968297,25.55375010308872","School Address: Johnson Road, Zwide, Gqeberha (Port Elizabeth), 6201
School Email: khwezilomso@telkomsa.net
School Principal: Not publicly listed in available sources
School Phone number: 041 464 1326 / +27 41 023 0280
Suburb: Zwide, Gqeberha (Port Elizabeth)"
Kideo Learning Centre,ECD,SCH-00222,222,Motherwell,-33.823376,25.58350758,"https://www.google.com/maps?q=-33.82337578572086,25.58350757931889","https://www.google.com/maps?q=-33.82337578572086,25.58350757931889","School Address: 1A Nile Road, Perridgevale, Port Elizabeth, Eastern Cape, 6001
School Email: Not publicly listed
School Principal: Lindiwe Ntenteni
School Phone number: Not publicly listed
Suburb: Perridgevale"
Kids College,ECD,SCH-00056,56,Motherwell,-33.776859,25.57055492,"https://www.google.com/maps?q=-33.77685901212574,25.57055492043574","https://www.google.com/maps?q=-33.77685901212574,25.57055492043574","'- School Address: No publicly listed address found for ""Kids College"" in Eastern Cape, but the Google Maps coordinates point to an area in Gqeberha (Port Elizabeth).
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: The coordinates are in the suburb of Walmer, Gqeberha (Port Elizabeth), Eastern Cape.

No official website or public directory entry for ""Kids College"" in the Eastern Cape was found in current online sources."
Kings and Quuens,ECD,SCH-00237,237,New Brighton,-33.865724,25.57466131,"https://www.google.com/maps?q=-33.865723583230995,25.574661305043687","https://www.google.com/maps?q=-33.865723583230995,25.574661305043687","School Address: 43 Burthurst Street, Makhanda, Eastern Cape
School Email: Not publicly listed
School Principal: Julia Nungi
School Phone number: Not publicly listed
Suburb: Makhanda

Source: https://www.school-register.co.za/school/kings-and-queens-2/"
KK Ncwana,Primary,SCH-00089,89,Kwazakhele,-33.880010,25.57602828,"https://www.google.com/maps?q=-33.88000954461438,25.57602828015732","https://www.google.com/maps?q=-33.88000954461438,25.57602828015732","School Address: Gaika Street, Kwazakhele, Port Elizabeth (Gqeberha), 6205
School Email: 463001002@vodamail.co.za
School Principal: Ms. E Hlobo
School Phone number: 041 464 6264
Suburb: Kwazakhele"
Kleinskool,Primary,SCH-00137,137,Saltville,-33.857259,25.51656528,"https://www.google.com/maps?q=-33.85725925435003,25.516565278308704","https://www.google.com/maps?q=-33.85725925435003,25.516565278308704","School Address: C/O Kleinskool & Soudien Rd, Saltville, Gqeberha, 6058
School Email: Not publicly listed
School Principal: Not publicly listed (Deputy Principal: Buyiswa Kaya)
School Phone number: 041 485 6020
Suburb: Saltville, Gqeberha"
Koester,ECD,SCH-00106,106,Motherwell,-33.815336,25.58711732,"https://www.google.com/maps?q=-33.81533579830646,25.587117317512114","https://www.google.com/maps?q=-33.81533579830646,25.587117317512114","School Address: 60 Mgwenyana Street, Port Elizabeth, Eastern Cape
School Email: Not publicly listed
School Principal: Thandeka Yoyo
School Phone number: Not publicly listed
Suburb: Port Elizabeth"
Kokkewiet,ECD,SCH-00292,292,Oysterbay,,,,,
Kroneberg,Primary,SCH-00077,77,Bethelsdorp,-33.865135,25.49408062,"https://www.google.com/maps?q=-33.865134973246356,25.49408062433332","https://www.google.com/maps?q=-33.865134973246356,25.49408062433332","School Address: Kroneberg Drive, Extension 21, Chatty, Qeberha, 6059
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: 041 481 8710
Suburb: Chatty, Qeberha"
Kruisrivier,Primary,SCH-00186,186,Kruisriver,-33.765362,25.34922857,"https://www.google.com/maps?q=-33.76536241967626,25.34922856618221","https://www.google.com/maps?q=-33.76536241967626,25.34922856618221","School Address: 117 Kruisrivier Road, Kruisriver, Uitenhage, 6230
School Email: spreivirsiurk@gmail.com
School Principal: Muller Lr (2023)
School Phone number: (+27) 41 991 1947
Suburb: Uitenhage Farms"
Kuyga,Primary,SCH-00183,183,Kuyga,-33.923017,25.44427145,"https://www.google.com/maps?q=-33.92301743074197,25.444271452697272","https://www.google.com/maps?q=-33.92301743074197,25.444271452697272","School Address: Erf 651 Nkanjeni Drive, Kuyga Township, Port Elizabeth, 6390
School Email: jnyvrem@evil.co.za (decoded from az.oc.evil@jnyvrem)
School Principal: Not publicly listed in recent sources
School Phone number: +27 41 476 0704
Suburb: Kuyga Township, Port Elizabeth"
Kwakhanya,ECD,SCH-00240,240,New Brighton,,,,,
Kwakhanya Daycare,ECD,SCH-00209,209,Motherwell,,,,,
KwaMagxaki,High School,SCH-00023,23,Kwa-Magxaki,-33.848020,25.54222395,"https://www.google.com/maps?q=-33.84801992644832,25.542223953167625","https://www.google.com/maps?q=-33.84801992644832,25.542223953167625","School Address: 2 Ralo Road, KwaMagxaki, Gqeberha, 6201
School Email: kwamagxakiss@gmail.com
School Principal: Mr M Kalashe
School Phone number: 041 463 3966
Suburb: KwaMagxaki."
KwaNoXolo,Primary,SCH-00082,82,KwaNoxolo,-33.857541,25.48796558,"https://www.google.com/maps?q=-33.857541169778905,25.487965582003472","https://www.google.com/maps?q=-33.857541169778905,25.487965582003472","School Address: 2681 Lingelihle Street, Kwanoxolo, Gqeberha, 6059
School Email: 387loohcsyramirp.oloxonawk@gmail.com
School Principal: Not publicly listed
School Phone number: 067 622 0909
Suburb: Kwanoxolo, Gqeberha"
Kwazakhele,High School,SCH-00028,28,Kwazakhele,-33.883520,25.57578934,"https://www.google.com/maps?q=-33.88351981060781,25.57578933967558","https://www.google.com/maps?q=-33.88351981060781,25.57578933967558","School Address: Jakavula Street, Kwa Zakhele, Gqeberha, 6205
School Email: Not publicly listed (general: Eastern Cape Education)
School Principal: Not publicly listed
School Phone number: 041 464 7429
Suburb: Kwa Zakhele"
Lamani,Primary,SCH-00067,67,New Brighton,-33.893829,25.59003491,"https://www.google.com/maps?q=-33.893829,25.59003491","https://www.google.com/maps?q=-33.893829,25.59003491","School Address: Maselana Street, New Brighton, Gqeberha, 6200
School Email: agnolodz@gmail.com
School Principal: Not publicly listed
School Phone number: 041 454 1357
Suburb: New Brighton"
Lavela Pre-School,ECD,SCH-00215,215,Kwa-Dwesi,,,,,
Libhongo Lwethu,ECD,SCH-00061,61,Zwide,-33.817753,25.58517385,"https://www.google.com/maps?q=-33.817752707466994,25.585173853805117","https://www.google.com/maps?q=-33.817752707466994,25.585173853805117","- School Address: No publicly listed street address found, but coordinates place it in Motherwell, Gqeberha, Eastern Cape.
- School Email: Not publicly available.
- School Principal: Not publicly available.
- School Phone number: Not publicly available.
- Suburb: Motherwell, Gqeberha, Eastern Cape."
lihlombe Educare,ECD,SCH-00207,207,Zwide,-33.876113,25.56777245,"https://www.google.com/maps?q=-33.876112569529624,25.56777244881056","https://www.google.com/maps?q=-33.876112569529624,25.56777244881056","School Address: 24 Mpehla Street, Eastern Cape
School Email: Not publicly listed
School Principal: Linda Ngwendu
School Phone number: Not publicly listed
Suburb: Not specified, but based on the coordinates, it is in Motherwell, Gqeberha (Port Elizabeth)"
Likhaya Daycare,ECD,SCH-00216,216,Soweto On Sea,-33.861104,25.57001441,"https://www.google.com/maps?q=-33.86110447356961,25.57001440644629","https://www.google.com/maps?q=-33.86110447356961,25.57001440644629","School Address: Not explicitly listed, but located in a city in the Eastern Cape (see Google Maps coordinates)
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: Not publicly listed
Suburb: Not explicitly listed, but the coordinates place it in or near Port Elizabeth/Gqeberha

The only public listing found confirms the existence of ""Likhaya Day Care Centre"" as a registered daycare/aftercare facility in a city in the Eastern Cape, but no direct contact details or principal name are provided in the available public records."
Linge Tots,ECD,SCH-00244,244,New Brighton,-33.870429,25.58653796,"https://www.google.com/maps?q=-33.87042893406667,25.58653795619738","https://www.google.com/maps?q=-33.87042893406667,25.58653795619738","School Address: Mtshiselwa Street, Kwazakele, Eastern Cape
School Email: Not publicly listed
School Principal: Fezeka Gawula
School Phone number: 082 511 7904
Suburb: Kwazakele"
Lingelethu,Primary,SCH-00322,322,Buizedenhoutville,-32.691737,26.30642032,"https://www.google.com/maps?q=-32.69173724467355,26.306420324922748","https://www.google.com/maps?q=-32.69173724467355,26.306420324922748","School Address: Adelaide, Eastern Cape (based on Google Maps and Facebook listing)
School Email: Not publicly listed
School Principal: Not publicly listed
School Phone number: +27 63 843 0563
Suburb: Adelaide"
Lithemba,ECD,SCH-00309,309,Kwazakhele,-33.870954,25.58511004,"https://www.google.com/maps?q=-33.87095351349572,25.585110036828645","https://www.google.com/maps?q=-33.87095351349572,25.585110036828645","School Address: No specific street address found, but located in Eastern Cape (see suburb below)
School Email: admin@lithembaacademyschools.co.za
School Principal: Not publicly listed
School Phone number: 063 007 8597 / 072 064 3182
Suburb: Motherwell, Gqeberha (based on Google Maps coordinates)

Sources:
- https://www.lithembaacademyschools.co.za/
- https://www.facebook.com/100091649477847/photos/lithemba-academy-registered-independent-schoolemis-number-5005070110333482756-i-/804551965943112/"
Little Angels Unite,ECD,SCH-00254,254,Kwazakhele,,,,,
